code,entry_date,exit_date,selection_periods,entry_rank,exit_rank
002298,2026-02-24,2026-03-09,2026-02-24,44,44
002299,2024-09-05,2024-09-20,2024-09-05,29,29
002300,2025-09-03,2025-09-16,2025-09-03,16,16
002300,2026-07-21,2026-08-03,2026-07-21,21,21
002302,2025-02-12,2025-02-25,2025-02-12,38,38
002302,2025-03-26,2025-04-09,2025-03-26,21,21
002303,2025-02-26,2025-03-11,2025-02-26,37,37
002307,2024-08-08,2024-08-21,2024-08-08,35,35
002310,2024-10-14,2024-11-08,"2024-10-14,2024-10-28",18,19
002310,2025-02-26,2025-03-11,2025-02-26,43,43
002312,2025-04-24,2025-05-26,"2025-04-24,2025-05-13",19,7
002312,2026-05-25,2026-06-22,"2026-05-25,2026-06-08",44,1
002316,2024-10-28,2024-11-08,2024-10-28,21,21
002317,2026-03-10,2026-03-23,2026-03-10,36,36
002320,2026-05-11,2026-05-22,2026-05-11,13,13
002322,2024-12-09,2025-01-20,"2024-12-09,2024-12-23,2025-01-07",12,2
002326,2026-09-15,2026-09-18,2026-09-15,34,34
002327,2026-01-19,2026-01-30,2026-01-19,30,30
002332,2025-03-12,2025-03-25,2025-03-12,25,25
002334,2025-05-27,2025-06-10,2025-05-27,12,12
002334,2026-08-18,2026-09-14,"2026-08-18,2026-09-01",8,5
002339,2026-06-23,2026-07-06,2026-06-23,44,44
002339,2026-07-21,2026-08-03,2026-07-21,46,46
002343,2024-07-25,2024-08-07,2024-07-25,30,30
002344,2025-02-26,2025-03-11,2025-02-26,28,28
002347,2026-04-08,2026-04-21,2026-04-08,7,7
002351,2025-04-24,2025-05-26,"2025-04-24,2025-05-13",18,17
002355,2025-09-03,2025-09-30,"2025-09-03,2025-09-17",42,42
002365,2026-01-05,2026-01-16,2026-01-05,48,48
002366,2024-07-25,2024-08-07,2024-07-25,21,21
002367,2026-05-11,2026-06-22,"2026-05-11,2026-05-25,2026-06-08",32,45
002368,2025-05-27,2025-06-10,2025-05-27,21,21
002369,2026-02-24,2026-03-23,"2026-02-24,2026-03-10",15,10
002374,2025-02-12,2025-02-25,2025-02-12,18,18
002381,2024-07-25,2024-08-07,2024-07-25,38,38
002382,2025-10-23,2025-11-19,"2025-10-23,2025-11-06",19,47
002382,2026-07-07,2026-07-20,2026-07-07,34,34
